*NODE
1, 4, 0, 4
2, 3, 0, 4
3, 4.0119681358337, 0.95160609483719, 4.077127456665
4, 3.043609380722, 0.82727867364883, 4.317006111145
5, 5, 0, 4
6, 5, 1, 4
7, 4.028892993927, 1.881637096405, 4.1467700004578
8, 3.1022102832794, 1.7481505870819, 4.2741088867188
9, 5, 2, 4
10, 4.0173707008362, 2.7609267234802, 4.21497631073
11, 3.2579095363617, 2.6927890777588, 4.4951128959656
12, 5, 3, 4
13, 5, 4, 4
14, 4.1842603683472, 3.7878379821777, 4.477520942688
15, 3, 0, 5
16, 2.9775035381317, 0.88694244623184, 5.1167225837708
17, 4, 0, 5
18, 5, 0, 5
19, 5, 1, 5
20, 2.8294150829315, 1.8181576728821, 5.0857634544373
21, 5, 2, 5
22, 3.3333678245544, 2.5220584869385, 5.4849939346313
23, 3.8569221496582, 3.0804541110992, 5.0144438743591
24, 5, 3, 5
25, 4.4076471328735, 3.6052560806274, 5.4705324172974
26, 5, 4, 5
27, 3, 0, 6
28, 2.8922271728516, 0.9256346821785, 6.0267305374146
29, 4, 0, 6
30, 5, 0, 6
31, 5, 1, 6
32, 2.7338809967041, 1.8352377414703, 5.9775533676147
33, 5, 2, 6
34, 3.3819675445557, 2.5911371707916, 6.3943338394165
35, 3.9446597099304, 3.1102523803711, 5.9482612609863
36, 5, 3, 6
37, 4.4621119499207, 3.6510100364685, 6.3855009078979
38, 5, 4, 6
39, 3, 0, 7
40, 2.8151149749756, 1.0110599994659, 6.983377456665
41, 4, 0, 7
42, 5, 0, 7
43, 5, 1, 7
44, 2.7057199478149, 1.9314470291138, 6.8279023170471
45, 2.4911444187164, 1.3787245750427, 7.267924785614
46, 2.0098423957825, 1.7906078100204, 7.0426173210144
47, 5, 2, 7
48, 3.3486378192902, 2.9360392093658, 7.1875495910645
49, 4.2293438911438, 3.2084381580353, 6.943660736084
50, 5, 3, 7
51, 4.1926689147949, 3.9806425571442, 6.9523005485535
52, 5, 4, 7
53, 3, 0, 8
54, 2.8855051994324, 1.0040798187256, 7.7861008644104
55, 2.0416674613953, 1.1547553539276, 7.7012982368469
56, 4, 0, 8
57, 3.7095293998718, 0.67550706863403, 8.297155380249
58, 5, 0, 8
59, 5, 1, 8
60, 1.9790562391281, 2.023562669754, 7.8197784423828
61, 2.9587273597717, 1.9911497831345, 7.794065952301
62, 4.0697269439697, 1.8200397491455, 8.246298789978
63, 5, 2, 8
64, 2.8162817955017, 2.6704046726227, 7.5949268341064
65, 3.73681640625, 2.6045572757721, 7.6275572776794
66, 5, 3, 8
67, 4, 0, 9
68, 4.3024477958679, 1.2285678386688, 8.7508316040039
69, 5, 0, 9
70, 5, 1, 9
71, 4.0358233451843, 1.8756017684937, 8.9617261886597
72, 5, 2, 9
*ELEMENT, type=C3D4, ELSET=Volume1
141, 28, 16, 22, 31
142, 19, 22, 16, 31
143, 32, 22, 34, 33
144, 31, 21, 22, 33
145, 19, 21, 22, 31
146, 43, 33, 34, 47
147, 28, 16, 20, 22
148, 28, 20, 32, 22
149, 23, 35, 22, 21
150, 61, 40, 44, 65
151, 31, 41, 28, 29
152, 43, 41, 28, 31
153, 41, 28, 40, 43
154, 40, 61, 62, 65
155, 31, 28, 16, 29
156, 31, 16, 19, 29
157, 17, 19, 16, 29
158, 34, 22, 35, 33
159, 3, 7, 16, 19
160, 21, 35, 22, 33
161, 22, 7, 23, 21
162, 35, 49, 34, 33
163, 35, 23, 24, 21
164, 40, 61, 54, 62
165, 16, 3, 19, 17
166, 62, 57, 43, 59
167, 16, 7, 8, 20
168, 49, 47, 34, 33
169, 49, 34, 47, 65
170, 43, 57, 56, 59
171, 41, 57, 56, 43
172, 35, 36, 49, 33
173, 33, 24, 35, 36
174, 24, 33, 35, 21
175, 11, 20, 8, 22
176, 23, 25, 35, 24
177, 7, 4, 16, 8
178, 20, 7, 8, 22
179, 10, 23, 7, 21
180, 39, 28, 40, 41
181, 36, 47, 49, 33
182, 47, 36, 49, 50
183, 67, 56, 57, 68
184, 7, 4, 3, 16
185, 29, 39, 28, 27
186, 29, 39, 41, 28
187, 34, 48, 44, 65
188, 47, 62, 43, 59
189, 47, 62, 59, 63
190, 40, 44, 45, 61
191, 41, 53, 57, 39
192, 41, 53, 56, 57
193, 39, 54, 57, 41
194, 43, 58, 56, 42
195, 42, 31, 41, 43
196, 31, 42, 41, 30
197, 56, 41, 43, 42
198, 58, 43, 56, 59
199, 29, 31, 41, 30
200, 29, 17, 19, 18
201, 19, 30, 29, 18
202, 19, 30, 31, 29
203, 54, 53, 39, 57
204, 56, 67, 58, 68
205, 67, 69, 58, 68
206, 28, 27, 16, 29
207, 45, 60, 55, 61
208, 36, 35, 25, 24
209, 37, 52, 50, 38
210, 23, 10, 24, 21
211, 50, 63, 65, 47
212, 54, 39, 40, 41
213, 69, 70, 59, 68
214, 59, 58, 69, 68
215, 27, 17, 16, 29
216, 17, 27, 16, 15
217, 45, 46, 60, 61
218, 25, 23, 14, 24
219, 61, 44, 48, 65
220, 6, 3, 5, 18
221, 3, 6, 19, 18
222, 50, 63, 66, 65
223, 3, 1, 5, 17
224, 17, 5, 3, 18
225, 3, 19, 17, 18
226, 16, 4, 3, 17
227, 63, 47, 62, 65
228, 48, 34, 49, 65
229, 47, 49, 65, 50
230, 61, 45, 40, 54
231, 50, 36, 37, 38
232, 35, 49, 36, 37
233, 62, 57, 59, 68
234, 10, 14, 23, 24
235, 46, 45, 44, 61
236, 21, 7, 9, 19
237, 6, 3, 1, 5
238, 48, 64, 61, 65
239, 70, 69, 67, 68
240, 65, 49, 66, 50
241, 25, 38, 36, 26
