*NODE
1, 0, 0, 0
2, 0, 1, 0
3, 0, 0, 1
4, 0, 1, 1
5, 1, 0, 0
6, 1, 0, 1
7, 1, 1, 0
8, 2, 0, 0
9, 2, 0, 1
10, 2, 1, 0
11, 3, 0, 0
12, 3, 0, 1
13, 3, 1, 0
14, 4, 0, 0
15, 4, 0, 1
16, 4, 1, 0
17, 5, 0, 0
18, 5, 0, 1
19, 5, 1, 0
20, 5, 1, 1
21, 0, 2, 0
22, 0, 2, 1
23, 1, 2, 0
24, 2, 2, 0
25, 3, 2, 0
26, 4, 2, 0
27, 5, 2, 0
28, 5, 2, 1
29, 0, 3, 0
30, 0, 3, 1
31, 1, 3, 0
32, 2, 3, 0
33, 3, 3, 0
34, 4, 3, 0
35, 5, 3, 0
36, 5, 3, 1
37, 0, 4, 0
38, 0, 4, 1
39, 1, 4, 0
40, 2, 4, 0
41, 3, 4, 0
42, 4, 4, 0
43, 5, 4, 0
44, 5, 4, 1
45, 0, 5, 0
46, 0, 5, 1
47, 1, 5, 0
48, 1, 5, 1
49, 2, 5, 0
50, 2, 5, 1
51, 3, 5, 0
52, 3, 5, 1
53, 4, 5, 0
54, 4, 5, 1
55, 5, 5, 0
56, 5, 5, 1
57, 0, 0, 2
58, 0, 1, 2
59, 1, 0, 2
60, 2, 0, 2
61, 3, 0, 2
62, 4, 0, 2
63, 4.1130504608154, 0.92947405576706, 2.1937367916107
64, 3.4625241756439, 0.80153948068619, 2.6338758468628
65, 5, 0, 2
66, 5, 1, 2
67, 0, 2, 2
68, 4.2163662910461, 1.7746212482452, 2.5295453071594
69, 3.5492336750031, 1.3604642152786, 2.9772264957428
70, 5, 2, 2
71, 0, 3, 2
72, 5, 3, 2
73, 4.4631714820862, 2.4199440479279, 2.8260262012482
74, 0, 4, 2
75, 5, 4, 2
76, 0, 5, 2
77, 1, 5, 2
78, 2, 5, 2
79, 3, 5, 2
80, 4, 5, 2
81, 5, 5, 2
82, 0, 0, 3
83, 0, 1, 3
84, 1, 0, 3
